ibu_id,nama_ibu,tanggal_lahir,pendidikan,pekerjaan,alamat
I000093,Ibu_93,1990-12-24,Tidak Sekolah,IRT,"Desa_158, Jember"
I000094,Ibu_94,1987-05-01,SMP,Tidak Bekerja,"Desa_73, Jember"
I000095,Ibu_95,2000-09-25,Tidak Sekolah,Petani,"Desa_142, Jember"
I000096,Ibu_96,1997-01-07,S1,Petani,"Desa_167, Jember"
I000097,Ibu_97,1992-02-09,Tidak Sekolah,Pedagang,"Desa_3, Jember"
I000098,Ibu_98,2008-09-15,SMP,Petani,"Desa_200, Jember"
I000099,Ibu_99,2010-11-13,SMP,Karyawan,"Desa_120, Jember"
I000100,Ibu_100,2004-12-25,SMP,Karyawan,"Desa_35, Jember"
I000101,Ibu_101,1989-11-07,SMA,Petani,"Desa_200, Jember"
I000102,Ibu_102,2010-09-16,SMA,Pedagang,"Desa_6, Jember"
I000103,Ibu_103,1994-07-19,SD,Petani,"Desa_113, Jember"
I000104,Ibu_104,1982-07-05,SD,IRT,"Desa_196, Jember"
I000105,Ibu_105,1990-04-10,SD,Petani,"Desa_137, Jember"
I000106,Ibu_106,1981-06-09,Tidak Sekolah,IRT,"Desa_65, Jember"
I000107,Ibu_107,1994-02-24,SD,Petani,"Desa_187, Jember"
I000108,Ibu_108,1997-12-29,S1,IRT,"Desa_89, Jember"
I000109,Ibu_109,1992-01-04,SD,IRT,"Desa_171, Jember"
I000110,Ibu_110,1982-12-20,Tidak Sekolah,Karyawan,"Desa_133, Jember"
I000111,Ibu_111,1989-06-18,D3,Karyawan,"Desa_71, Jember"
I000112,Ibu_112,2005-06-10,Tidak Sekolah,Tidak Bekerja,"Desa_85, Jember"
I000113,Ibu_113,2012-03-15,SD,Pedagang,"Desa_138, Jember"
I000114,Ibu_114,1994-02-11,SMA,Pedagang,"Desa_78, Jember"
I000115,Ibu_115,1989-07-15,SMP,Petani,"Desa_14, Jember"
I000116,Ibu_116,2009-05-26,SD,Tidak Bekerja,"Desa_46, Jember"
I000117,Ibu_117,2002-05-24,Tidak Sekolah,Petani,"Desa_34, Jember"
I000118,Ibu_118,1997-09-30,S1,Petani,"Desa_42, Jember"
I000119,Ibu_119,2008-11-01,S1,Karyawan,"Desa_114, Jember"
I000120,Ibu_120,2000-07-31,D3,Karyawan,"Desa_185, Jember"
I000121,Ibu_121,1986-05-29,S1,IRT,"Desa_124, Jember"
I000122,Ibu_122,1991-11-18,SMA,IRT,"Desa_97, Jember"
I000123,Ibu_123,1986-04-06,SMP,IRT,"Desa_176, Jember"
I000124,Ibu_124,1991-01-23,SD,Karyawan,"Desa_2, Jember"
I000125,Ibu_125,2005-03-07,SMP,Karyawan,"Desa_34, Jember"
I000126,Ibu_126,2004-03-05,SD,Tidak Bekerja,"Desa_25, Jember"
I000127,Ibu_127,1991-10-14,SD,IRT,"Desa_142, Jember"
I000128,Ibu_128,2006-03-22,D3,IRT,"Desa_14, Jember"
I000129,Ibu_129,1999-03-21,D3,Karyawan,"Desa_109, Jember"
I000130,Ibu_130,2006-03-05,D3,Karyawan,"Desa_194, Jember"
I000131,Ibu_131,1997-11-30,SMP,Tidak Bekerja,"Desa_112, Jember"
I000132,Ibu_132,1996-03-27,SMP,Karyawan,"Desa_125, Jember"
I000133,Ibu_133,1989-11-02,S1,Petani,"Desa_33, Jember"
I000134,Ibu_134,1986-03-16,SD,Tidak Bekerja,"Desa_86, Jember"
I000135,Ibu_135,2002-11-09,SMA,IRT,"Desa_46, Jember"
I000136,Ibu_136,2002-02-19,Tidak Sekolah,Petani,"Desa_115, Jember"
I000137,Ibu_137,1984-01-29,SMA,Pedagang,"Desa_152, Jember"
I000138,Ibu_138,1982-02-10,D3,IRT,"Desa_50, Jember"
I000139,Ibu_139,1984-12-01,SMA,Pedagang,"Desa_193, Jember"
I000140,Ibu_140,1986-11-09,S1,Petani,"Desa_187, Jember"
I000141,Ibu_141,2008-02-23,S1,Tidak Bekerja,"Desa_187, Jember"
I000142,Ibu_142,1987-03-06,S1,Karyawan,"Desa_73, Jember"
I000143,Ibu_143,2010-07-11,D3,Pedagang,"Desa_66, Jember"
I000144,Ibu_144,1998-12-08,SMA,Petani,"Desa_70, Jember"
I000145,Ibu_145,2006-10-02,S1,Karyawan,"Desa_90, Jember"
I000146,Ibu_146,1982-11-06,SMP,Karyawan,"Desa_32, Jember"
I000147,Ibu_147,1997-04-05,SD,Petani,"Desa_183, Jember"
I000148,Ibu_148,1997-02-12,SMP,IRT,"Desa_151, Jember"
I000149,Ibu_149,2006-09-24,S1,Petani,"Desa_10, Jember"
I000150,Ibu_150,2000-12-29,Tidak Sekolah,Petani,"Desa_104, Jember"
I000151,Ibu_151,2003-09-26,S1,IRT,"Desa_113, Jember"
I000152,Ibu_152,1991-04-12,D3,Tidak Bekerja,"Desa_126, Jember"
I000153,Ibu_153,2004-10-25,SMA,Tidak Bekerja,"Desa_77, Jember"
I000154,Ibu_154,1980-07-07,SMP,Pedagang,"Desa_165, Jember"
I000155,Ibu_155,2010-07-07,D3,IRT,"Desa_37, Jember"
I000156,Ibu_156,2012-04-30,SD,Karyawan,"Desa_17, Jember"
I000157,Ibu_157,1985-02-19,SMP,Pedagang,"Desa_188, Jember"
I000158,Ibu_158,2010-07-31,SMP,Petani,"Desa_2, Jember"
I000159,Ibu_159,2004-02-01,D3,IRT,"Desa_195, Jember"
I000160,Ibu_160,1991-12-20,Tidak Sekolah,Pedagang,"Desa_143, Jember"
I000161,Ibu_161,2008-10-01,SMP,IRT,"Desa_50, Jember"
I000162,Ibu_162,1995-04-05,SD,Pedagang,"Desa_4, Jember"
I000163,Ibu_163,1985-01-01,Tidak Sekolah,Petani,"Desa_107, Jember"
I000164,Ibu_164,1993-03-01,SMP,IRT,"Desa_54, Jember"
I000165,Ibu_165,1999-07-03,D3,Tidak Bekerja,"Desa_186, Jember"
I000166,Ibu_166,1987-02-04,SMA,Tidak Bekerja,"Desa_71, Jember"
I000167,Ibu_167,2000-05-08,SMA,Pedagang,"Desa_76, Jember"
I000168,Ibu_168,1980-02-23,S1,IRT,"Desa_52, Jember"
I000169,Ibu_169,2012-05-22,SMP,IRT,"Desa_186, Jember"
I000170,Ibu_170,2012-04-13,SD,Pedagang,"Desa_126, Jember"
I000171,Ibu_171,1991-10-25,SMA,IRT,"Desa_27, Jember"
I000172,Ibu_172,2002-06-15,D3,Karyawan,"Desa_5, Jember"
I000173,Ibu_173,1988-01-06,D3,Pedagang,"Desa_175, Jember"
I000174,Ibu_174,2002-10-09,SD,Pedagang,"Desa_172, Jember"
I000175,Ibu_175,1984-10-09,Tidak Sekolah,IRT,"Desa_133, Jember"
I000176,Ibu_176,2008-01-18,S1,Tidak Bekerja,"Desa_66, Jember"
I000177,Ibu_177,1993-05-21,SMP,Pedagang,"Desa_43, Jember"
I000178,Ibu_178,2008-08-29,SD,Tidak Bekerja,"Desa_85, Jember"
I000179,Ibu_179,2002-10-09,D3,Pedagang,"Desa_114, Jember"
I000180,Ibu_180,2007-04-26,SD,Petani,"Desa_187, Jember"
I000181,Ibu_181,1988-12-02,SD,Tidak Bekerja,"Desa_89, Jember"
I000182,Ibu_182,1986-11-09,SMA,Pedagang,"Desa_70, Jember"
I000183,Ibu_183,1996-10-09,SMP,Karyawan,"Desa_48, Jember"
I000184,Ibu_184,1987-03-31,SMP,Karyawan,"Desa_59, Jember"
I000185,Ibu_185,2004-03-12,Tidak Sekolah,Karyawan,"Desa_118, Jember"
I000186,Ibu_186,2003-10-16,S1,IRT,"Desa_62, Jember"
I000187,Ibu_187,1980-01-10,SD,Petani,"Desa_87, Jember"
I000188,Ibu_188,2006-11-13,SMP,Karyawan,"Desa_54, Jember"
I000189,Ibu_189,1994-07-16,SMP,Tidak Bekerja,"Desa_177, Jember"
I000190,Ibu_190,2001-12-01,D3,Pedagang,"Desa_67, Jember"
I000191,Ibu_191,1980-11-15,Tidak Sekolah,Karyawan,"Desa_145, Jember"
I000192,Ibu_192,1985-01-06,SMP,Karyawan,"Desa_117, Jember"
I000193,Ibu_193,1996-04-13,SD,Tidak Bekerja,"Desa_33, Jember"
I000194,Ibu_194,1993-10-17,Tidak Sekolah,Karyawan,"Desa_80, Jember"
I000195,Ibu_195,1990-09-28,S1,IRT,"Desa_134, Jember"
I000196,Ibu_196,1982-08-07,Tidak Sekolah,IRT,"Desa_108, Jember"
I000197,Ibu_197,1990-10-21,Tidak Sekolah,Tidak Bekerja,"Desa_134, Jember"
I000198,Ibu_198,2005-06-13,SMP,Petani,"Desa_159, Jember"
I000199,Ibu_199,1983-07-14,SD,IRT,"Desa_131, Jember"
I000200,Ibu_200,1983-11-04,SMA,Karyawan,"Desa_167, Jember"
I000201,Ibu_201,2012-10-30,S1,Karyawan,"Desa_167, Jember"
I000202,Ibu_202,2001-10-19,SD,Pedagang,"Desa_192, Jember"
I000203,Ibu_203,1983-02-07,S1,Pedagang,"Desa_50, Jember"
I000204,Ibu_204,2003-11-23,S1,IRT,"Desa_43, Jember"
I000205,Ibu_205,1985-08-22,D3,Pedagang,"Desa_42, Jember"
I000206,Ibu_206,1985-10-04,Tidak Sekolah,Tidak Bekerja,"Desa_86, Jember"
I000207,Ibu_207,2009-08-05,SD,Petani,"Desa_200, Jember"
I000208,Ibu_208,2001-04-27,Tidak Sekolah,Pedagang,"Desa_57, Jember"
I000209,Ibu_209,2004-08-29,SMA,Pedagang,"Desa_87, Jember"
I000210,Ibu_210,1987-05-29,S1,IRT,"Desa_7, Jember"
I000211,Ibu_211,1991-11-21,SD,IRT,"Desa_48, Jember"
I000212,Ibu_212,2003-09-02,D3,Karyawan,"Desa_47, Jember"
I000213,Ibu_213,2007-03-18,SD,Petani,"Desa_115, Jember"
I000214,Ibu_214,1998-12-24,SD,Karyawan,"Desa_115, Jember"
I000215,Ibu_215,1989-07-02,S1,Petani,"Desa_67, Jember"
I000216,Ibu_216,2004-03-10,D3,Karyawan,"Desa_167, Jember"
I000217,Ibu_217,2012-09-28,SMP,Tidak Bekerja,"Desa_102, Jember"
I000218,Ibu_218,2010-12-11,S1,Karyawan,"Desa_164, Jember"
I000219,Ibu_219,1989-01-08,SMA,Petani,"Desa_149, Jember"
I000220,Ibu_220,2011-12-24,SMA,Petani,"Desa_2, Jember"
I000221,Ibu_221,1993-12-25,S1,Tidak Bekerja,"Desa_50, Jember"
I000222,Ibu_222,1997-11-24,S1,Petani,"Desa_59, Jember"
I000223,Ibu_223,2010-02-16,SD,Tidak Bekerja,"Desa_133, Jember"
I000224,Ibu_224,2009-02-24,Tidak Sekolah,IRT,"Desa_66, Jember"
I000225,Ibu_225,1996-10-01,S1,IRT,"Desa_126, Jember"
I000226,Ibu_226,1999-08-26,SMA,Tidak Bekerja,"Desa_29, Jember"
I000227,Ibu_227,2003-03-20,S1,Petani,"Desa_57, Jember"
I000228,Ibu_228,2000-04-02,Tidak Sekolah,Petani,"Desa_123, Jember"
I000229,Ibu_229,1985-06-05,D3,IRT,"Desa_3, Jember"
I000230,Ibu_230,1991-02-13,Tidak Sekolah,Pedagang,"Desa_87, Jember"
I000231,Ibu_231,1990-01-29,D3,IRT,"Desa_136, Jember"
I000232,Ibu_232,1982-11-15,SMP,IRT,"Desa_127, Jember"
I000233,Ibu_233,1995-03-02,Tidak Sekolah,Petani,"Desa_176, Jember"
I000234,Ibu_234,1980-12-10,Tidak Sekolah,IRT,"Desa_183, Jember"
I000235,Ibu_235,2006-05-22,SD,Petani,"Desa_126, Jember"
I000236,Ibu_236,2004-11-05,D3,Pedagang,"Desa_187, Jember"
I000237,Ibu_237,1990-04-28,S1,IRT,"Desa_86, Jember"
I000238,Ibu_238,2006-05-25,S1,Karyawan,"Desa_36, Jember"
I000239,Ibu_239,1989-11-17,SD,Petani,"Desa_42, Jember"
I000240,Ibu_240,1980-04-27,Tidak Sekolah,Karyawan,"Desa_47, Jember"
I000241,Ibu_241,1983-03-09,SD,Tidak Bekerja,"Desa_22, Jember"
I000242,Ibu_242,2011-10-02,SMA,IRT,"Desa_175, Jember"
I000243,Ibu_243,2008-04-22,SMP,IRT,"Desa_161, Jember"
I000244,Ibu_244,1982-08-22,D3,Tidak Bekerja,"Desa_171, Jember"
I000245,Ibu_245,1990-04-08,S1,Tidak Bekerja,"Desa_42, Jember"
I000246,Ibu_246,1983-01-09,Tidak Sekolah,IRT,"Desa_186, Jember"
I000247,Ibu_247,1981-05-29,S1,Pedagang,"Desa_12, Jember"
I000248,Ibu_248,1994-10-27,SMP,IRT,"Desa_9, Jember"
I000249,Ibu_249,1983-03-06,SD,Petani,"Desa_188, Jember"
I000250,Ibu_250,2003-01-23,S1,Pedagang,"Desa_79, Jember"
I000251,Ibu_251,1990-09-04,D3,IRT,"Desa_4, Jember"
I000252,Ibu_252,1992-06-28,S1,Karyawan,"Desa_163, Jember"
I000253,Ibu_253,2010-01-03,SMP,Pedagang,"Desa_39, Jember"
I000254,Ibu_254,2001-10-10,S1,IRT,"Desa_55, Jember"
I000255,Ibu_255,1989-08-11,S1,IRT,"Desa_170, Jember"
I000256,Ibu_256,2004-03-09,D3,Karyawan,"Desa_72, Jember"
I000257,Ibu_257,1985-12-07,SMP,Pedagang,"Desa_35, Jember"
I000258,Ibu_258,2012-06-12,S1,Karyawan,"Desa_13, Jember"
I000259,Ibu_259,2005-08-12,SMA,IRT,"Desa_49, Jember"
I000260,Ibu_260,2005-11-05,SMA,IRT,"Desa_58, Jember"
I000261,Ibu_261,2001-03-15,SMA,Karyawan,"Desa_174, Jember"
I000262,Ibu_262,1990-11-25,SD,IRT,"Desa_140, Jember"
I000263,Ibu_263,2001-03-20,Tidak Sekolah,Karyawan,"Desa_123, Jember"
I000264,Ibu_264,1998-04-05,SD,Pedagang,"Desa_164, Jember"
I000265,Ibu_265,1988-07-16,S1,Tidak Bekerja,"Desa_54, Jember"
I000266,Ibu_266,1984-03-25,SMP,Pedagang,"Desa_142, Jember"
I000267,Ibu_267,1984-05-07,SMP,Karyawan,"Desa_78, Jember"
I000268,Ibu_268,2009-07-23,Tidak Sekolah,Tidak Bekerja,"Desa_96, Jember"
I000269,Ibu_269,1999-05-03,D3,Karyawan,"Desa_197, Jember"
I000270,Ibu_270,1995-11-22,SMP,Tidak Bekerja,"Desa_54, Jember"
I000271,Ibu_271,1998-12-31,SD,Tidak Bekerja,"Desa_92, Jember"
I000272,Ibu_272,1998-06-10,SD,Karyawan,"Desa_9, Jember"
I000273,Ibu_273,2000-12-12,SMP,Petani,"Desa_14, Jember"
I000274,Ibu_274,2012-09-14,S1,IRT,"Desa_33, Jember"
I000275,Ibu_275,1982-06-06,SMP,Petani,"Desa_25, Jember"
I000276,Ibu_276,2010-03-16,S1,Pedagang,"Desa_81, Jember"
I000277,Ibu_277,2009-04-24,SMA,IRT,"Desa_170, Jember"
I000278,Ibu_278,2008-12-26,S1,Karyawan,"Desa_187, Jember"
I000279,Ibu_279,1984-05-31,SMP,Tidak Bekerja,"Desa_106, Jember"
I000280,Ibu_280,1982-09-20,Tidak Sekolah,IRT,"Desa_62, Jember"
I000281,Ibu_281,1998-01-22,SMP,Pedagang,"Desa_140, Jember"
I000282,Ibu_282,2012-08-31,SMP,Pedagang,"Desa_51, Jember"
I000283,Ibu_283,1995-03-22,Tidak Sekolah,Tidak Bekerja,"Desa_104, Jember"
I000284,Ibu_284,1984-11-25,SMP,IRT,"Desa_97, Jember"
I000285,Ibu_285,1991-02-25,SD,Petani,"Desa_107, Jember"
I000286,Ibu_286,1988-08-05,SMA,Tidak Bekerja,"Desa_145, Jember"
I000287,Ibu_287,1988-07-13,SD,Tidak Bekerja,"Desa_72, Jember"
I000288,Ibu_288,2004-01-21,SMA,IRT,"Desa_164, Jember"
I000289,Ibu_289,2000-02-15,SMA,Tidak Bekerja,"Desa_194, Jember"
I000290,Ibu_290,1986-04-15,D3,IRT,"Desa_49, Jember"
I000291,Ibu_291,1998-12-04,SMA,IRT,"Desa_105, Jember"
I000292,Ibu_292,1988-03-25,Tidak Sekolah,IRT,"Desa_87, Jember"
I000293,Ibu_293,1992-06-29,SMP,Pedagang,"Desa_130, Jember"
I000294,Ibu_294,2000-10-01,Tidak Sekolah,Pedagang,"Desa_97, Jember"
I000295,Ibu_295,1991-03-16,SMP,Karyawan,"Desa_188, Jember"
I000296,Ibu_296,1983-05-20,Tidak Sekolah,Karyawan,"Desa_160, Jember"
I000297,Ibu_297,1999-11-17,S1,Karyawan,"Desa_78, Jember"
I000298,Ibu_298,2004-09-07,Tidak Sekolah,Karyawan,"Desa_158, Jember"
I000299,Ibu_299,1984-05-23,SD,Karyawan,"Desa_19, Jember"
I000300,Ibu_300,1982-04-08,SD,Karyawan,"Desa_156, Jember"
I000301,Ibu_301,2009-04-02,D3,IRT,"Desa_148, Jember"
I000302,Ibu_302,2004-03-31,SMA,Tidak Bekerja,"Desa_123, Jember"
I000303,Ibu_303,1980-08-29,S1,Pedagang,"Desa_139, Jember"
I000304,Ibu_304,1984-03-08,S1,Petani,"Desa_178, Jember"
I000305,Ibu_305,1990-08-08,Tidak Sekolah,Pedagang,"Desa_83, Jember"
I000306,Ibu_306,1987-06-17,SMP,Tidak Bekerja,"Desa_178, Jember"
I000307,Ibu_307,1998-03-25,Tidak Sekolah,Karyawan,"Desa_30, Jember"
I000308,Ibu_308,2001-10-13,SD,IRT,"Desa_57, Jember"
I000309,Ibu_309,2001-08-04,Tidak Sekolah,IRT,"Desa_182, Jember"
I000310,Ibu_310,1989-08-03,SMP,Karyawan,"Desa_165, Jember"
I000311,Ibu_311,1997-12-27,Tidak Sekolah,IRT,"Desa_80, Jember"
I000312,Ibu_312,1982-08-18,Tidak Sekolah,Tidak Bekerja,"Desa_76, Jember"
I000313,Ibu_313,1987-05-21,Tidak Sekolah,Petani,"Desa_81, Jember"
I000314,Ibu_314,1996-12-31,SD,IRT,"Desa_186, Jember"
I000315,Ibu_315,1980-02-05,SMP,Karyawan,"Desa_83, Jember"
I000316,Ibu_316,1997-07-06,SD,Karyawan,"Desa_64, Jember"
I000317,Ibu_317,1991-11-24,Tidak Sekolah,Pedagang,"Desa_179, Jember"
I000318,Ibu_318,2000-05-29,SMP,Pedagang,"Desa_42, Jember"
I000319,Ibu_319,1992-10-17,SD,IRT,"Desa_153, Jember"
I000320,Ibu_320,1998-12-22,SMA,Karyawan,"Desa_100, Jember"
I000321,Ibu_321,2011-03-31,Tidak Sekolah,Karyawan,"Desa_128, Jember"
I000322,Ibu_322,2012-10-07,Tidak Sekolah,IRT,"Desa_128, Jember"
I000323,Ibu_323,2004-12-05,SMP,Petani,"Desa_49, Jember"
I000324,Ibu_324,2009-09-09,SMP,Petani,"Desa_126, Jember"
I000325,Ibu_325,2012-03-23,SMP,Petani,"Desa_81, Jember"
I000326,Ibu_326,2001-10-30,SMP,Tidak Bekerja,"Desa_149, Jember"
I000327,Ibu_327,1986-12-11,Tidak Sekolah,IRT,"Desa_80, Jember"
I000328,Ibu_328,1988-07-08,D3,Pedagang,"Desa_40, Jember"
I000329,Ibu_329,1993-04-23,D3,Pedagang,"Desa_139, Jember"
I000330,Ibu_330,1989-10-06,SMA,Petani,"Desa_54, Jember"
I000331,Ibu_331,1982-08-16,SMP,Pedagang,"Desa_23, Jember"
I000332,Ibu_332,2005-12-24,Tidak Sekolah,Karyawan,"Desa_129, Jember"
I000333,Ibu_333,2004-04-27,SD,Tidak Bekerja,"Desa_166, Jember"
I000334,Ibu_334,1982-09-25,SMP,Petani,"Desa_140, Jember"
I000335,Ibu_335,1994-01-25,SMA,Karyawan,"Desa_135, Jember"
I000336,Ibu_336,1982-07-25,Tidak Sekolah,Karyawan,"Desa_169, Jember"
I000337,Ibu_337,1982-04-01,SMP,Petani,"Desa_101, Jember"
I000338,Ibu_338,2006-03-16,SD,Pedagang,"Desa_28, Jember"
I000339,Ibu_339,2001-05-21,SMP,Petani,"Desa_102, Jember"
I000340,Ibu_340,2002-07-22,S1,Petani,"Desa_108, Jember"
I000341,Ibu_341,2003-10-28,SD,IRT,"Desa_103, Jember"
I000342,Ibu_342,1987-01-23,D3,Tidak Bekerja,"Desa_59, Jember"
I000343,Ibu_343,1982-07-20,SMA,Pedagang,"Desa_63, Jember"
I000344,Ibu_344,2002-10-12,SD,Tidak Bekerja,"Desa_77, Jember"
I000345,Ibu_345,1983-08-05,D3,Petani,"Desa_48, Jember"
